,nodes count,HW Availability class,HW Availability,SW Availability class,failure function,Overall availability
5036,113,6,3.946945876776179,6,n,3.943119684175029
5037,113,6,3.946945876776179,6,square_root_n,3.9079022301497037
5038,113,6,3.946945876776179,6,n_squared,3.9469118684096407
5039,113,6,3.946945876776179,6,n_log_n,3.9450780283568014
5040,114,4,1.9455466834264108,4,identity,1.64698523431047
5041,114,4,1.9455466834264108,4,n,1.9417751826676632
5042,114,4,1.9455466834264108,4,square_root_n,1.9068946436608973
5043,114,4,1.9455466834264108,4,n_squared,1.9455134556288844
5044,114,4,1.9455466834264108,4,n_log_n,1.9437089640900742
5045,114,4,1.9455466834264108,5,identity,1.9044028301822358
5046,114,4,1.9455466834264108,5,n,1.9451680729533556
5047,114,4,1.9455466834264108,5,square_root_n,1.9415213768523136
5048,114,4,1.9455466834264108,5,n_squared,1.945543360830236
5049,114,4,1.9455466834264108,5,n_log_n,1.945362573668527
5050,114,4,1.9455466834264108,6,identity,1.9412502300209928
5051,114,4,1.9455466834264108,6,n,1.9455088076921119
5052,114,4,1.9455466834264108,6,square_root_n,1.9451424537623554
5053,114,4,1.9455466834264108,6,n_squared,1.945546351168318
5054,114,4,1.9455466834264108,6,n_log_n,1.9455282690630715
5055,114,5,2.9433405027592103,4,identity,1.904402830182669
5056,114,5,2.9433405027592103,4,n,2.906842069300354
5057,114,5,2.9433405027592103,4,square_root_n,2.6565165930217414
5058,114,5,2.9433405027592103,4,n_squared,2.9430066145057348
5059,114,5,2.9433405027592103,4,n_log_n,2.9252123852708145
5060,114,5,2.9433405027592103,5,identity,2.642557985635825
5061,114,5,2.9433405027592103,5,n,2.93954966610769
5062,114,5,2.9433405027592103,5,square_root_n,2.904481749896498
5063,114,5,2.9433405027592103,5,n_squared,2.943307105375302
5064,114,5,2.9433405027592103,5,n_log_n,2.941493383638821
5065,114,5,2.9433405027592103,6,identity,2.901972745125299
5066,114,5,2.9433405027592103,6,n,2.9429599283131105
5067,114,5,2.9433405027592103,6,square_root_n,2.9392942265257447
5068,114,5,2.9433405027592103,6,n_squared,2.9433371629320755
5069,114,5,2.9433405027592103,6,n_log_n,2.9431554381793723
5070,114,6,3.9431196860665714,4,identity,1.9412502300214647
5071,114,6,3.9431196860665714,4,n,3.669612375159568
5072,114,6,3.9431196860665714,4,square_root_n,2.9277090649008333
5073,114,6,3.9431196860665714,4,n_squared,3.9397905829125253
5074,114,6,3.9431196860665714,4,n_log_n,3.7888569632087252
5075,114,6,3.9431196860665714,5,identity,2.901972745125299
5076,114,6,3.9431196860665714,5,n,3.9066046925271
5077,114,6,3.9431196860665714,5,square_root_n,3.6561042279304847
5078,114,6,3.9431196860665714,5,n_squared,3.9427856549746907
5079,114,6,3.9431196860665714,5,n_log_n,3.9249835838314135
